Image_URL,JSON_File,Actual_Weight,Day/Date,Type,Number,relative_path,image_path,pixel_area
F:\WeightPrediction\ImageJPG\IMG_0291.jpg,,165,23/01/2025,evaluation,,IMG_0291.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0291.jpg,18486
F:\WeightPrediction\ImageJPG\IMG_0292.jpg,,165,,evaluation,,IMG_0292.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0292.jpg,17372
F:\WeightPrediction\ImageJPG\IMG_0293.jpg,,165,,evaluation,,IMG_0293.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0293.jpg,16824
F:\WeightPrediction\ImageJPG\IMG_0294.jpg,,165,,evaluation,,IMG_0294.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0294.jpg,17619
F:\WeightPrediction\ImageJPG\IMG_0295.jpg,,165,,evaluation,,IMG_0295.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0295.jpg,18715
F:\WeightPrediction\ImageJPG\IMG_0296.jpg,,165,,evaluation,,IMG_0296.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0296.jpg,18826
F:\WeightPrediction\ImageJPG\IMG_0297.jpg,,165,,evaluation,,IMG_0297.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0297.jpg,18751
F:\WeightPrediction\ImageJPG\IMG_0327.jpg,,175,,evaluation,,IMG_0327.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0327.jpg,20007
F:\WeightPrediction\ImageJPG\IMG_0328.jpg,,175,,evaluation,,IMG_0328.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0328.jpg,19683
F:\WeightPrediction\ImageJPG\IMG_0329.jpg,,175,,evaluation,,IMG_0329.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0329.jpg,19772
F:\WeightPrediction\ImageJPG\IMG_0330.jpg,,175,,evaluation,,IMG_0330.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0330.jpg,19630
F:\WeightPrediction\ImagesCropped\IMG_0359.jpg,,155,,evaluation,18.0,IMG_0359.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0359.jpg,20878
F:\WeightPrediction\ImagesCropped\IMG_0360.jpg,,155,,evaluation,18.0,IMG_0360.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0360.jpg,20764
F:\WeightPrediction\ImagesCropped\IMG_0361.jpg,,155,,evaluation,18.0,IMG_0361.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0361.jpg,20807
